"APP__C","CAMPO_BOOLEANO__C","CAMPO_DATA_ORA__C","CAMPO_DATA__C","CAMPO_NUMERICO__C","CAMPO_TESTUALE__C","CHIAVE__C","CREATEDBYID","CREATEDDATE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SEZIONE__C","SYSTEMMODSTAMP","TIPOLOGIA_CAMPO__C"
"a0X1n00000alLbrEAE","false","","","","A riguardo puoi lasciare un commento","label_commento_quesito_it","0050Y000001Te0YQAS","2019-12-20T10:10:11.000Z","a141n00000CsXgZAAV","false","0050Y000001Te0YQAS","2019-12-20T13:11:25.000Z","","","CA-000009","0050Y000001Te0YQAS","Generale","2019-12-20T13:11:25.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","A riguardo puoi lasciare un commento","label_commento_quesito_en","0050Y000001Te0YQAS","2019-12-20T10:13:04.000Z","a141n00000CsXgtAAF","false","0050Y000001Te0YQAS","2019-12-20T13:11:31.000Z","","","CA-000010","0050Y000001Te0YQAS","Generale","2019-12-20T13:11:31.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#CC0033","colore_rosso","0050Y000000NtQOQA0","2019-09-13T13:28:03.000Z","a141n00000CwLPcAAN","false","0050Y000000NtQOQA0","2019-09-13T13:30:47.000Z","","","CA-000001","0050Y000000NtQOQA0","Grafici","2019-09-13T13:30:47.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#FF7F00","colore_arancione","0050Y000000NtQOQA0","2019-09-13T13:31:30.000Z","a141n00000CwLQ1AAN","false","0050Y000000NtQOQA0","2019-09-13T13:31:30.000Z","","","CA-000002","0050Y000000NtQOQA0","Grafici","2019-09-13T13:31:30.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#fdd835","colore_giallo","0050Y000000NtQOQA0","2019-09-13T13:32:10.000Z","a141n00000CwLQGAA3","false","0050Y000000NtQOQA0","2019-09-13T13:32:10.000Z","","","CA-000003","0050Y000000NtQOQA0","Grafici","2019-09-13T13:32:10.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#4caf50","colore_verde_chiaro","0050Y000000NtQOQA0","2019-09-13T13:32:31.000Z","a141n00000CwLQLAA3","false","0050Y000000NtQOQA0","2019-09-13T13:32:31.000Z","","","CA-000004","0050Y000000NtQOQA0","Grafici","2019-09-13T13:32:31.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#fdd835","colore_giallo","0050Y000000NtQOQA0","2019-09-13T13:33:37.000Z","a141n00000CwLQMAA3","false","0050Y000000NtQOQA0","2019-09-13T13:33:37.000Z","","","CA-000007","0050Y000000NtQOQA0","Dealer Map","2019-09-13T13:33:37.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#1b5e20","colore_verde_scuro","0050Y000000NtQOQA0","2019-09-13T13:32:51.000Z","a141n00000CwLQQAA3","false","0050Y000000NtQOQA0","2019-09-13T13:32:51.000Z","","","CA-000005","0050Y000000NtQOQA0","Grafici","2019-09-13T13:32:51.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#CC0033","colore_rosso","0050Y000000NtQOQA0","2019-09-13T13:33:17.000Z","a141n00000CwLQRAA3","false","0050Y000001Te0YQAS","2019-11-26T11:02:47.000Z","","","CA-000006","0050Y000000NtQOQA0","Dealer Map","2019-11-26T11:02:47.000Z","Testuale"
"a0X1n00000alLbrEAE","false","","","","#1b5e20","colore_verde_scuro","0050Y000000NtQOQA0","2019-09-13T13:33:57.000Z","a141n00000CwLQaAAN","false","0050Y000000NtQOQA0","2019-09-13T13:33:57.000Z","","","CA-000008","0050Y000000NtQOQA0","Dealer Map","2019-09-13T13:33:57.000Z","Testuale"
